business_date,fund_code,fund_product_id,product_type,price_above_year_line,weekly_macd_state,volume_state,current_nav
2026-09-07,008585,6170,ETF,true,GREEN_EXPANDING,NORMAL,1.56990000
2026-09-07,008888,6416,ETF,true,GREEN_EXPANDING,NORMAL,1.85760000
2026-09-07,010736,7967,INDEX_ENHANCED,true,GREEN_EXPANDING,NORMAL,1.24400000
2026-09-07,011608,8713,INDEX,true,GREEN_EXPANDING,NORMAL,1.22400000
2026-09-07,012920,9883,ACTIVE,true,GREEN_EXPANDING,NORMAL,3.63200000
2026-09-07,012922,9885,ACTIVE,true,GREEN_EXPANDING,NORMAL,3.55820000
2026-09-07,013308,10208,ETF,false,RED_SHRINKING,,1.08870000
2026-09-07,013446,10333,ACTIVE,true,GREEN_EXPANDING,NORMAL,1.48710000
2026-09-07,014978,11628,ETF,true,GREEN_EXPANDING,,8.02230000
2026-09-07,015879,12383,ETF,false,RED_EXPANDING,,0.79400000
2026-09-07,016664,13060,ACTIVE,true,GREEN_EXPANDING,NORMAL,2.67980000
2026-09-07,016707,13096,ETF,false,RED_SHRINKING,NORMAL,1.77920000
2026-09-07,016708,13097,ETF,false,RED_SHRINKING,NORMAL,1.75880000
2026-09-07,017093,13421,ETF,true,GREEN_EXPANDING,,2.83950000
2026-09-07,017189,13506,INDEX_ENHANCED,true,GREEN_EXPANDING,,1.75190000
2026-09-07,017730,14005,ACTIVE,true,GREEN_EXPANDING,NORMAL,3.94390000
2026-09-07,019172,15299,INDEX,true,GREEN_EXPANDING,,1.75210000
2026-09-07,019736,15828,INDEX,true,GREEN_EXPANDING,,1.48990000
2026-09-07,020608,16637,ETF,false,GREEN_EXPANDING,NORMAL,1.32460000
2026-09-07,021972,17940,ETF,false,RED_EXPANDING,,1.21950000
2026-09-07,025732,21520,ETF,,GREEN_SHRINKING,,0.90150000
2026-09-07,026265,22033,ETF,,,,0.82810000
2026-09-07,027521,23185,ETF,,,,0.90150000
2026-09-07,110026,23860,ETF,false,GREEN_EXPANDING,NORMAL,3.38300000
2026-09-07,270042,25374,ETF,true,GREEN_EXPANDING,,8.42990000
2026-09-08,003765,2583,ETF,false,GREEN_SHRINKING,NORMAL,1.84260000
2026-09-08,006479,4420,ETF,true,GREEN_EXPANDING,,8.03100000
2026-09-08,007301,5128,ETF,true,GREEN_EXPANDING,NORMAL,3.81330000
2026-09-08,008087,5778,ETF,true,GREEN_SHRINKING,NORMAL,2.94370000
2026-09-08,008163,5838,ETF,true,RED_SHRINKING,,1.74820000
2026-09-08,008585,6170,ETF,true,GREEN_SHRINKING,NORMAL,1.61080000
2026-09-08,008888,6416,ETF,true,GREEN_EXPANDING,NORMAL,1.91630000
2026-09-08,010736,7967,INDEX_ENHANCED,true,GREEN_SHRINKING,NORMAL,1.27890000
2026-09-08,011608,8713,INDEX,true,GREEN_EXPANDING,NORMAL,1.25210000
2026-09-08,012920,9883,ACTIVE,true,GREEN_EXPANDING,NORMAL,3.64830000
2026-09-08,012922,9885,ACTIVE,true,GREEN_EXPANDING,NORMAL,3.57410000
2026-09-08,013308,10208,ETF,false,RED_SHRINKING,,1.07900000
2026-09-08,013446,10333,ACTIVE,true,GREEN_EXPANDING,NORMAL,1.52580000
2026-09-08,014978,11628,ETF,true,GREEN_EXPANDING,,8.03540000
2026-09-08,015879,12383,ETF,false,RED_EXPANDING,,0.79630000
2026-09-08,016664,13060,ACTIVE,true,GREEN_SHRINKING,NORMAL,2.72090000
2026-09-08,016707,13096,ETF,false,RED_SHRINKING,NORMAL,1.76700000
2026-09-08,016708,13097,ETF,false,RED_SHRINKING,NORMAL,1.74670000
2026-09-08,017093,13421,ETF,true,GREEN_EXPANDING,,2.84810000
2026-09-08,017189,13506,INDEX_ENHANCED,true,GREEN_EXPANDING,,1.79910000
2026-09-08,017730,14005,ACTIVE,true,GREEN_EXPANDING,NORMAL,3.93840000
2026-09-08,019172,15299,INDEX,true,GREEN_EXPANDING,,1.75530000
2026-09-08,019736,15828,INDEX,true,GREEN_EXPANDING,,1.49260000
2026-09-08,020608,16637,ETF,false,GREEN_SHRINKING,NORMAL,1.35120000
2026-09-08,021972,17940,ETF,false,RED_EXPANDING,,1.21210000
2026-09-08,025732,21520,ETF,,GREEN_SHRINKING,,0.89290000
2026-09-08,026265,22033,ETF,,GREEN_SHRINKING,,0.83780000
2026-09-08,027521,23185,ETF,,,,0.91600000
2026-09-08,110026,23860,ETF,true,GREEN_SHRINKING,NORMAL,3.49210000
2026-09-08,270042,25374,ETF,true,GREEN_EXPANDING,,8.44420000
2026-09-09,003765,2583,ETF,false,GREEN_SHRINKING,NORMAL,1.82250000
2026-09-09,006479,4420,ETF,true,GREEN_EXPANDING,,8.03150000
2026-09-09,007301,5128,ETF,true,GREEN_EXPANDING,NORMAL,3.76060000
2026-09-09,008087,5778,ETF,true,GREEN_SHRINKING,NORMAL,2.92420000
2026-09-09,008163,5838,ETF,true,RED_SHRINKING,,1.74860000
2026-09-09,008585,6170,ETF,true,GREEN_SHRINKING,NORMAL,1.58910000
2026-09-09,008888,6416,ETF,true,GREEN_EXPANDING,NORMAL,1.89160000
2026-09-09,010736,7967,INDEX_ENHANCED,true,GREEN_SHRINKING,NORMAL,1.27530000
2026-09-09,011608,8713,INDEX,true,GREEN_EXPANDING,NORMAL,1.23400000
2026-09-09,012920,9883,ACTIVE,true,GREEN_SHRINKING,NORMAL,3.75210000
2026-09-09,012922,9885,ACTIVE,true,GREEN_SHRINKING,NORMAL,3.67560000
2026-09-09,013308,10208,ETF,false,RED_SHRINKING,,1.06280000
2026-09-09,013446,10333,ACTIVE,true,GREEN_EXPANDING,NORMAL,1.50580000
2026-09-09,014978,11628,ETF,true,GREEN_EXPANDING,,8.03520000
2026-09-09,015879,12383,ETF,false,RED_EXPANDING,,0.80670000
2026-09-09,016664,13060,ACTIVE,true,GREEN_SHRINKING,NORMAL,2.84370000
2026-09-09,016707,13096,ETF,false,RED_EXPANDING,NORMAL,1.79360000
2026-09-09,016708,13097,ETF,false,RED_EXPANDING,NORMAL,1.77290000
2026-09-09,017093,13421,ETF,true,GREEN_EXPANDING,,2.84890000
2026-09-09,017189,13506,INDEX_ENHANCED,true,GREEN_EXPANDING,,1.77270000
2026-09-09,017730,14005,ACTIVE,true,GREEN_SHRINKING,NORMAL,4.05550000
2026-09-09,019172,15299,INDEX,true,GREEN_EXPANDING,,1.75560000
2026-09-09,019736,15828,INDEX,true,GREEN_EXPANDING,,1.49270000
2026-09-09,020608,16637,ETF,false,GREEN_SHRINKING,NORMAL,1.34180000
2026-09-09,021972,17940,ETF,true,RED_EXPANDING,,1.23470000
2026-09-09,025732,21520,ETF,,GREEN_SHRINKING,,0.90860000
2026-09-09,026265,22033,ETF,,GREEN_SHRINKING,,0.82310000
2026-09-09,027521,23185,ETF,,,,0.90310000
2026-09-09,110026,23860,ETF,false,GREEN_SHRINKING,NORMAL,3.45450000
2026-09-09,270042,25374,ETF,true,GREEN_EXPANDING,,8.44470000
2026-09-10,003765,2583,ETF,false,GREEN_SHRINKING,NORMAL,1.82000000
2026-09-10,006479,4420,ETF,true,GREEN_EXPANDING,,8.02210000
2026-09-10,007301,5128,ETF,true,GREEN_EXPANDING,NORMAL,3.74140000
2026-09-10,008087,5778,ETF,true,GREEN_SHRINKING,NORMAL,2.95140000
2026-09-10,008163,5838,ETF,true,RED_EXPANDING,,1.75080000
2026-09-10,008585,6170,ETF,true,GREEN_SHRINKING,NORMAL,1.58090000
2026-09-10,008888,6416,ETF,true,GREEN_EXPANDING,NORMAL,1.88100000
2026-09-10,010736,7967,INDEX_ENHANCED,true,GREEN_SHRINKING,NORMAL,1.28240000
2026-09-10,011608,8713,INDEX,true,GREEN_EXPANDING,NORMAL,1.22630000
2026-09-10,012920,9883,ACTIVE,true,GREEN_SHRINKING,NORMAL,3.78180000
2026-09-10,012922,9885,ACTIVE,true,GREEN_SHRINKING,NORMAL,3.70470000
2026-09-10,013308,10208,ETF,false,RED_SHRINKING,,1.05440000
2026-09-10,013446,10333,ACTIVE,true,GREEN_EXPANDING,NORMAL,1.49660000
2026-09-10,014978,11628,ETF,true,GREEN_EXPANDING,,8.02600000
2026-09-10,015879,12383,ETF,false,RED_EXPANDING,,0.80660000
2026-09-10,016664,13060,ACTIVE,true,GREEN_SHRINKING,NORMAL,2.84980000
2026-09-10,016707,13096,ETF,true,RED_EXPANDING,NORMAL,1.82140000
